product,original_price,selling_price,category,source,rating,main_category,discount,price_range
"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199.0,959.0,"[""Watches >> Wrist Watches >> Franck Bella Wrist Watches""]",Flipkart,,Watches,20.016680567139282,Economy
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0,"[""Watches >> Wrist Watches >> Kool Kidz Wrist Watches""]",Flipkart,,Watches,29.894736842105264,Budget
"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"[""Watches >> Wrist Watches >> Vizion Wrist Watches""]",Flipkart,,Watches,45.662100456621005,Economy
Vencer Stella 7lyt1011 Digital Watch  - For Boys,399.0,144.0,"[""Watches >> Wrist Watches >> Vencer Stella Wrist Watches""]",Flipkart,,Watches,63.90977443609023,Budget
La Briza Mile Boots,3999.0,3999.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,0.0,Premium
"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3999.0,899.0,"[""Watches >> Wrist Watches >> Casela Wrist Watches""]",Flipkart,,Watches,77.51937984496125,Economy
Sneha Unique Boots,1799.0,899.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,50.0277932184547,Economy
Timer TC_-_690143 Analog Watch  - For Boys,1299.0,549.0,"[""Watches >> Wrist Watches >> Timer Wrist Watches""]",Flipkart,,Watches,57.736720554272516,Economy
NE Regular Fit Men's Jeans,4999.0,1899.0,"[""Clothing >> Men's Clothing >> Jeans >> NE Jeans""]",Flipkart,,Clothing,62.0124024804961,Mid-Range
"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999.0,1049.0,"[""Watches >> Wrist Watches >> Colat Wrist Watches""]",Flipkart,,Watches,79.01580316063213,Mid-Range
Belle Gambe Boots,3999.0,1695.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,57.61440360090022,Mid-Range
"Titan 1639SL03 Analog Watch  - For Boys, Men",1795.0,1695.0,"[""Watches >> Wrist Watches >> Titan Wrist Watches""]",Flipkart,,Watches,5.571030640668524,Mid-Range
Selfie Boots,1200.0,599.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,50.083333333333336,Economy
Clincher Semonday Boots,3499.0,3499.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,0.0,Premium
